drug_a,drug_b,interaction_type,severity,mechanism,description,evidence_source
Warfarin,Aspirin,Pharmacodynamic Synergism,SEVERE,Dual inhibition of coagulation cascade and platelet aggregation,Substantially elevates major bleeding and intracranial hemorrhage risk,CPIC / FDA Boxed Warning
Warfarin,Ibuprofen,Pharmacodynamic / Pharmacokinetic,SEVERE,Inhibition of platelet COX-1 plus competitive CYP2C9 protein displacement,Severe gastrointestinal mucosal bleeding and ulceration,FDA Label Warning
Warfarin,Amiodarone,CYP2C9/CYP3A4 Inhibition,HIGH,Amiodarone inhibits CYP2C9-mediated clearance of S-warfarin,Markedly prolongs prothrombin time / INR leading to severe coagulopathy,CPIC Warfarin Guideline
Clopidogrel,Omeprazole,CYP2C19 Competitive Inhibition,HIGH,Omeprazole inhibits bioactivation of clopidogrel to its active thiol metabolite,Reduces antiplatelet efficacy and increases recurrent ischemic cardiovascular events,CPIC Clopidogrel Guideline
Simvastatin,Amiodarone,CYP3A4 Metabolic Inhibition,HIGH,Amiodarone decreases hepatic clearance of simvastatin,Increases systemic simvastatin exposure causing severe rhabdomyolysis and myopathy,FDA Drug Safety Communication
Methotrexate,Ibuprofen,Renal Tubular Clearance Inhibition,SEVERE,NSAIDs inhibit renal prostaglandin synthesis and organic anion secretion of methotrexate,Severe methotrexate toxicity including fatal bone marrow suppression and nephrotoxicity,FDA Boxed Warning
Lisinopril,Spironolactone,Potassium Sparing Synergism,HIGH,Combined suppression of aldosterone secretion and renal potassium excretion,Life-threatening hyperkalemia and cardiac conduction abnormalities,AHA / ACC Guideline
Ciprofloxacin,Theophylline,CYP1A2 Inhibition,HIGH,Ciprofloxacin inhibits CYP1A2 clearance of theophylline,Theophylline toxicity including intractable seizures and cardiac arrhythmias,FDA Label Warning
Digoxin,Clarithromycin,P-glycoprotein (P-gp) Inhibition,HIGH,Clarithromycin inhibits intestinal and renal P-gp efflux transport of digoxin,Doubles serum digoxin concentration precipitating fatal digitalis toxicity,FDA Label Warning
Tramadol,Fluoxetine,CYP2D6 Inhibition / Serotonergic Synergism,HIGH,Inhibition of O-desmethyltramadol activation plus excess synaptic serotonin,Reduces analgesic efficacy and triggers central Serotonin Syndrome,CPIC Opioids Guideline
Lithium,Hydrochlorothiazide,Renal Clearance Reduction,HIGH,Thiazide-induced sodium depletion enhances proximal renal lithium reabsorption,Severe lithium toxicity with neurotoxicity and renal impairment,FDA Label Warning
Sildenafil,Nitroglycerin,cGMP Degradation Inhibition Synergism,SEVERE,Synergistic elevation of intracellular cyclic GMP causing extreme vasodilation,Profound systemic hypotension with cardiovascular collapse and syncope,FDA Contraindication
Warfarin,Ciprofloxacin,CYP1A2 / Gut Flora Inhibition,HIGH,Inhibition of intestinal vitamin K synthesis and hepatic clearance,Elevates INR and causes acute bleeding,FDA Label Warning
Atorvastatin,Clarithromycin,CYP3A4 / OATP1B1 Inhibition,HIGH,Inhibits hepatic uptake and CYP3A4 clearance of atorvastatin,Substantially increases risk of severe statin-induced myopathy,CPIC Statin Guideline
Metformin,Contrast Media,Renal Tubular Impairment Synergism,HIGH,Contrast-induced acute renal impairment delays metformin clearance,Triggers life-threatening lactic acidosis,ACR Contrast Media Manual
Tacrolimus,Fluconazole,CYP3A4 and P-gp Inhibition,HIGH,Potent inhibition of tacrolimus intestinal and hepatic metabolism,Marked increase in tacrolimus trough levels causing acute nephrotoxicity,CPIC Calcineurin Guideline
Levothyroxine,Calcium Carbonate,Gastrointestinal Chelation,MODERATE,Physical chelation in GI tract impairs levothyroxine absorption,Reduced thyroid hormone bioavailability requiring dose separation by 4 hours,Endocrine Society
Citalopram,Ondansetron,hERG Channel Additive Blockade,HIGH,Additive prolongation of myocardial ventricular repolarization (QT interval),Torsades de Pointes and lethal ventricular arrhythmias,FDA Drug Safety Communication
Phenytoin,Carbamazepine,CYP3A4 and Epoxide Hydrolase Induction,HIGH,Complex cross-induction of metabolism and toxic epoxide accumulation,Fluctuating anticonvulsant control and neurotoxicity,CPIC Anticonvulsant Guideline
Allopurinol,Azathioprine,Xanthine Oxidase Inhibition,SEVERE,Allopurinol inhibits metabolic inactivation of 6-mercaptopurine,Severe pancytopenia and life-threatening myelosuppression,CPIC Thiopurine Guideline
