condition_name,medication_name,relationship_type,risk_level,mechanism,rule_id,evidence_source
Peptic Ulcer Disease,Ibuprofen,Absolute Contraindication,SEVERE,Inhibition of gastric mucosal COX-1 protective prostaglandins leads to acute mucosal perforation and massive hemorrhage,CDR_PUD_IBU_01,FDA Black Box Warning / ACG Guidelines
Peptic Ulcer Disease,Aspirin,Absolute Contraindication,SEVERE,Direct mucosal irritation and systemic platelet COX-1 inhibition causes severe gastrointestinal bleeding,CDR_PUD_ASA_02,AHA / ACG Joint Statement
Bronchial Asthma,Propranolol,Absolute Contraindication,SEVERE,Non-selective beta-2 adrenergic receptor blockade causes acute, refractory bronchospasm,CDR_AST_PRO_01,GINA Asthma Guidelines
Bronchial Asthma,Aspirin,Relative Contraindication,HIGH,Inhibition of COX-1 shunts arachidonic acid to leukotrienes triggering Aspirin-Exacerbated Respiratory Disease (AERD),CDR_AST_ASA_02,AAAAI Practice Parameters
Chronic Kidney Disease,Ibuprofen,Absolute Contraindication,SEVERE,Suppression of renal vasodilatory PGE2/PGI2 precipitates acute renal failure and volume overload,CDR_CKD_IBU_01,KDIGO Clinical Practice Guideline
Chronic Kidney Disease,Gentamicin,Absolute Contraindication,SEVERE,Accumulation in renal proximal tubular cells causes severe direct nephrotoxicity and ototoxicity,CDR_CKD_GEN_02,KDIGO / Infectious Diseases Society
Heart Failure,Verapamil,Absolute Contraindication,SEVERE,Negative inotropic effect suppresses left ventricular systolic ejection fraction causing acute decompensation,CDR_HF_VER_01,ACC / AHA Heart Failure Guidelines
Heart Failure,Ibuprofen,Relative Contraindication,HIGH,Sodium and water retention plus increased peripheral vascular resistance blunts diuretic response and exacerbates congestion,CDR_HF_IBU_02,ESC Heart Failure Guidelines
Liver Cirrhosis,Paracetamol,Relative Precaution,HIGH,Depleted glutathione stores in cirrhosis accelerate toxic NAPQI accumulation leading to acute-on-chronic hepatic necrosis,CDR_LIV_APAP_01,AASLD Practice Guidelines
Liver Cirrhosis,Morphine,Absolute Contraindication,SEVERE,Impaired hepatic glucuronidation and portosystemic shunting precipitate lethal hepatic encephalopathy and coma,CDR_LIV_MOR_02,EASL Clinical Guidelines
Diabetes Mellitus,Prednisone,Relative Precaution,HIGH,Glucocorticoid-induced hepatic gluconeogenesis and peripheral insulin resistance trigger severe diabetic ketoacidosis / hyperosmolar state,CDR_DM_PRED_01,ADA Standards of Care
Glaucoma,Atropine,Absolute Contraindication,SEVERE,Anticholinergic pupillary dilation (mydriasis) blocks the trabecular meshwork causing acute angle-closure crisis,CDR_GLA_ATR_01,AAO Preferred Practice Pattern
Myasthenia Gravis,Ciprofloxacin,Absolute Contraindication,SEVERE,Fluoroquinolone neuromuscular blockade exacerbates severe myasthenic weakness and respiratory failure,CDR_MG_CIP_01,FDA Black Box Warning
Gout,Hydrochlorothiazide,Relative Precaution,HIGH,Thiazide competition with uric acid for renal organic anion transporter (OAT) excretion increases serum urate triggering acute gout flares,CDR_GOU_HCTZ_01,ACR Gout Guidelines
Atrial Fibrillation,Flecainide,Relative Precaution,HIGH,Vagolytic conduction acceleration without prior AV nodal blockade can convert atrial fibrillation into 1:1 rapid ventricular conduction,CDR_AF_FLEC_01,HRS / ACC / AHA Guidelines
Hypertension,Pseudoephedrine,Relative Precaution,HIGH,Alpha-1 adrenergic receptor vasoconstriction raises systemic vascular resistance and blood pressure,CDR_HTN_PSE_01,AHA Guidelines
Parkinson's Disease,Metoclopramide,Absolute Contraindication,SEVERE,Central dopamine D2 receptor antagonism exacerbates parkinsonian rigidity, bradykinesia, and extrapyramidal symptoms,CDR_PD_MCP_01,Movement Disorder Society
Gastroesophageal Reflux Disease,Alendronate,Relative Precaution,HIGH,Direct chemical contact with esophageal mucosa induces severe erosive esophagitis and esophageal stricture,CDR_GERD_ALN_01,ACG GERD Guidelines
Depression,Interferon alfa,Relative Contraindication,HIGH,Immunomodulatory disruption of central serotonergic and dopaminergic signaling precipitates severe suicidal depression,CDR_DEP_IFN_01,FDA Boxed Warning
Long QT Syndrome,Citalopram,Absolute Contraindication,SEVERE,Inhibition of hERG potassium channels prolongs cardiac repolarization triggering Torsades de Pointes and sudden cardiac arrest,CDR_LQTS_CIT_01,AHA / ACC Scientific Statement
